filename,totalBBs,averageInstPerBB,totalDynInstCount,dynIntALUCount,dynFpALUCount,dynMemCount,dynBranchCount,dynOtherCount,totalStaticInstCount,staticIntALUCont,staticFpALUCount,staticMemCount,staticBranchCount,staticOtherCount,dynStatIntALU,dynStatFpALU,dynStatMem,dynStatBranch,dynStatOther,biasBranch,unbiasBranch,loopCount,averageBBPerLoop,loopTotalStaticInstCount,averageLoopIntALU,averageLoopFpALU,averageLoopMem,averageLoopBranch,averageLoopOther,recursiveCount
00011.c,1.0,8.0,8.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00012.c,1.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00013.c,1.0,10.0,10.0,0.0,0.0,9.0,0.0,1.0,10.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00014.c,1.0,11.0,11.0,0.0,0.0,10.0,0.0,1.0,11.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00015.c,1.0,14.0,14.0,2.0,0.0,11.0,0.0,1.0,14.0,2.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00016.c,1.0,11.0,11.0,0.0,0.0,10.0,0.0,1.0,11.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00017.c,1.0,14.0,14.0,2.0,0.0,11.0,0.0,1.0,14.0,2.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00018.c,1.0,19.0,19.0,2.0,0.0,16.0,0.0,1.0,19.0,2.0,0.0,16.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00019.c,1.0,20.0,20.0,0.0,0.0,19.0,0.0,1.0,20.0,0.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00020.c,1.0,12.0,12.0,0.0,0.0,11.0,0.0,1.0,12.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00021.c,2.0,6.5,13.0,2.0,0.0,8.0,0.0,3.0,13.0,2.0,0.0,8.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00022.c,1.0,6.0,6.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00023.c,1.0,5.0,5.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00024.c,1.0,9.0,9.0,2.0,0.0,6.0,0.0,1.0,9.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00025.c,1.0,8.0,8.0,1.0,0.0,5.0,0.0,2.0,8.0,1.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00026.c,1.0,10.0,10.0,1.0,0.0,7.0,0.0,2.0,10.0,1.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00027.c,1.0,10.0,10.0,2.0,0.0,7.0,0.0,1.0,10.0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00028.c,1.0,10.0,10.0,2.0,0.0,7.0,0.0,1.0,10.0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00029.c,1.0,10.0,10.0,2.0,0.0,7.0,0.0,1.0,10.0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0
00030.c,15.0,2.466266666666667,30.0,6.0,0.0,4.0,6.0,13.0,37.0,6.0,0.0,10.0,6.0,8.0,6.667,1.0,0.0,0.4,1.0,7.0,7.0,0.0,0,0.0,0,0,0,0,0,0.0
00031.c,20.0,3.7,60.0,12.0,0.0,30.0,8.0,9.0,74.0,12.0,0.0,38.0,8.0,7.0,4.7780000000000005,1.0,0.0,0.789,1.0,5.0,9.0,0.0,0,0.0,0,0,0,0,0,0.0
00032.c,14.0,4.857,56.0,6.0,0.0,42.0,6.0,1.0,68.0,6.0,0.0,48.0,6.0,1.0,0.824,1.0,0.0,0.875,1.0,1.0,7.0,0.0,0,0.0,0,0,0,0,0,0.0
00033.c,26.0,2.6923076923076925,50.0,10.0,0.0,21.0,10.0,5.0,70.0,12.0,0.0,28.0,12.0,6.0,2.676,0.833,0.0,2.7039999999999997,0.833,2.6,14.0,0.0,0,0.0,0,0,0,0,0,0.0
00034.c,16.0,2.312,134.0,34.0,0.0,53.0,23.0,1.0,37.0,7.0,0.0,14.0,4.0,1.0,3.622,4.857,0.0,3.786,5.75,1.0,46.0,0.0,0,22.0,0,0,0,0,0,0.0
00035.c,8.0,3.875,25.0,9.0,0.0,9.0,3.0,3.0,31.0,9.0,0.0,12.0,3.0,3.0,0.806,1.0,0.0,0.75,1.0,1.0,4.0,0.0,0,0.0,0,0,0,0,0,0.0
